0 | 7 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=94 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=94 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=96 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=96 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=96 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=1
0 | 7 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=1
0 | 7 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=99 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=99 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=99 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=910 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=910 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=911 | ip= | E=(0,1,0,0) | ep=2
